libsigc++-3.0 3.8.0-1
libsm 1.2.6-1
libsndfile 1.2.2-4
libsodium 1.0.21-1
libsonic 0.2.0-2
libsoup 2.74.3-4
libsoup3 3.6.6-2
libsoxr 0.1.3-4
libspectre 0.2.12-2
libspeechd 0.12.1-3
libspelling 0.4.10-1
libspiro 1:20240903-1
libsrtp 1:2.8.0-1
libssc 0.4.2-1
libssh 0.12.0-1
libssh2 1.11.1-1
libstaroffice 0.0.7-5
libstdc++ 15.2.1+r604+g0b99615a8aef-1
libstemmer 3.0.1-1
libsynctex 2026.0-1
libsysprof-capture 49.0-2
libtasn1 4.21.0-1
libtatsu 1.0.5-1
libteam 1.32-3
libthai 0.1.30-1
libtheora 1.2.0-1
libtiff 4.7.1-1
libtiger 0.3.4-8
libtirpc 1.3.7-1
libtommath 1.3.0-2
libtool 2.6.0-4
libtsan 15.2.1+r604+g0b99615a8aef-1
libubsan 15.2.1+r604+g0b99615a8aef-1
libunibreak 6.1-1
libunistring 1.4.1-1
libunwind 1.8.2-1
libupnp 1.14.25-1
liburing 2.14-1
libusb 1.0.29-1
libusb-compat 0.1.8-2
libusbmuxd 2.1.1-2
libutf8proc 2.11.3-1
libuv 1.52.1-1
libva 2.23.0-1
libva-utils 2.22.0-1
libvdpau 1.5-4
libverto 0.3.2-5
libvisio 0.1.10-3
libvlc 3.0.21-32
libvncserver 0.9.15-1
libvorbis 1.3.7-4
libvpl 2.16.0-2
libvpx 1.15.2-3
libvterm 0.3.3-2
libwacom 2.18.0-2
libwbclient 2:4.24.0-1
libwebp 1.6.0-2
libwireplumber 0.5.13-1
libwmf 0.2.13-4
libwnck3 43.3-1
libwpd 0.10.3-6
libwps 0.4.14-4
libx11 1.8.13-1
libxau 1.0.12-1
libxaw 1.0.16-1
libxcb 1.17.0-1
libxcomp 3.5.99.27-3
libxcomposite 0.4.7-1
libxcrypt 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.7-1
libxdmcp 1.1.5-1
libxext 1.3.7-1
libxfixes 6.0.2-1
libxfont2 2.0.7-1
libxft 2.3.9-1
libxi 1.8.2-1
libxinerama 1.1.6-1
libxkbcommon 1.13.1-1
libxkbcommon-x11 1.13.1-1
libxkbfile 1.2.0-1
libxml2 2.15.2-1
libxmlb 0.3.25-1
libxmu 1.3.1-1
libxpm 3.5.18-1
libxrandr 1.5.5-1
libxrender 0.9.12-1
libxres 1.2.3-1
libxshmfence 1.3.3-1
libxslt 1.1.45-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.7-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzip 1.11.4-1
libzmf 0.0.2-20
licenses 20240728-1
lilv 0.26.4-1
linux 6.19.9.arch1-1
linux-api-headers 6.19-1
linux-firmware 20260309-1
linux-firmware-amdgpu 20260309-1
linux-firmware-atheros 20260309-1
linux-firmware-broadcom 20260309-1
linux-firmware-cirrus 20260309-1
linux-firmware-intel 20260309-1
linux-firmware-mediatek 20260309-1
linux-firmware-nvidia 20260309-1
linux-firmware-other 20260309-1
linux-firmware-radeon 20260309-1
linux-firmware-realtek 20260309-1
linux-firmware-whence 20260309-1
lirc 1:0.10.2-6
live-media 2025.05.24-1
llvm-libs 22.1.1-1
lm_sensors 1:3.6.2-1
lmdb 0.9.35-1
localsearch 3.10.2-1
loupe 49.2-1
lpsolve 5.5.2.14-1
lsof 4.99.6-1
lua 5.4.8-2
lua51-lpeg 1.1.0-4
luajit 2.1.1772619647+659a616-1
luarocks 3.13.0-1
lv2 1.18.10-2
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.21-2
mailcap 2.1.54-2
make 4.4.1-2
malcontent 0.13.1-1
man-db 2.13.1-1
man-pages 6.17-1
md4c 0.5.2-1
mdadm 4.6-1
media-player-info 26-1
mesa 1:26.0.3-1
minizip 1:1.3.2-3
mjpegtools 2.2.1-4
mkinitcpio 40-4
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
mod_dnssd 0.6-10
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.4-1
msgpack-c 6.1.0-2
msgraph 0.3.4-1
mtdev 1.1.7-1
mullvad-vpn 2026.1-1
mullvad-vpn-daemon 2026.1-1
muparser 2.3.5-2
mutter 49.5-1
mypaint-brushes 2.0.2-2
mypaint-brushes1 1.3.1-2
nano 8.7.1-1
nautilus 49.5-1
ncurses 6.6-2
neofetch 7.1.0-2
neon 0.37.1-1
neovim 0.11.6-1
net-snmp 5.9.5.2-1
nettle 3.10.2-1
network-manager-applet 1.36.0-1
networkmanager 1.56.0-1
networkmanager-vpn-plugin-vpnc 1.4.0-2
networkmanager-vpnc 1.4.0-2
nm-connection-editor 1.36.0-1
node-gyp 12.2.0-1
nodejs 25.8.1-1
nodejs-nopt 9.0.0-1
noto-fonts 1:2026.03.01-1
noto-fonts-emoji 1:2.051-1
npm 11.12.0-1
npth 1.8-1
nspr 4.38.2-1
nss 3.122-1
nwg-look 1.0.6-1
nxproxy 3.5.99.27-3
ocl-icd 2.3.4-1
oniguruma 6.9.10-1
openal 1.25.1-1
opencore-amr 0.1.6-2
openexr 3.4.7-2
openh264 2.6.0-2
openjpeg2 2.5.4-1
openjph 0.26.3-3
openssh 10.2p1-2
openssl 3.6.1-1
openvpn 2.7.0-1
opus 1.6.1-1
orc 0.4.42-1
orca 49.6-1
os-prober 1.84-1
osinfo-db 20251212-1
ostree 2025.7-3
otf-font-awesome 7.2.0-1
p11-kit 0.26.2-1
pacman 7.1.0.r9.g54d9411-1
pacman-mirrorlist 20260213-1
pam 1.7.2-2
pambase 20250719-1
pamixer 1.6-3
pango 1:1.57.0-2
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
papers 49.4-2
parted 3.6-2
patch 2.8-1
pavucontrol 1:6.2-1
pcaudiolib 1.3-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.4.1-1
perl 5.42.1-1
perl-error 0.17030-3
perl-mailtools 2.22-3
perl-timedate 2.35-1
phodav 3.0-4
pinentry 1.3.2-2
pipewire 1:1.6.2-1
pipewire-alsa 1:1.6.2-1
pipewire-audio 1:1.6.2-1
pipewire-pulse 1:1.6.2-1
pixman 0.46.4-1
pkcs11-helper 1.31.0-1
pkgconf 2.5.1-1
plasma-activities 6.6.3-1
playerctl 2.4.1-5
polkit 127-3
polkit-gnome 0.105-12
polkit-kde-agent 6.6.3-1
polkit-qt6 0.200.0-1
poppler 26.03.0-1
poppler-data 0.4.12-2
poppler-glib 26.03.0-1
poppler-qt6 26.03.0-1
popt 1.19-2
portaudio 1:19.7.0-4
pps-tools 1.0.3-2
procps-ng 4.0.6-1
projectm 3.1.12-5
protobuf 33.1-4
protobuf-c 1.5.2-8
psmisc 23.7-1
pugixml 1.15-3
pyhoca-cli 0.6.1.3-1
pyhoca-gui 0.6.1.1-1
python 3.14.3-1
python-argcomplete 3.6.3-1
python-autocommand 2.2.2-9
python-bcrypt 5.0.0-2
python-brltty 6.9-2
python-cairo 1.29.0-2
python-cffi 2.0.0-2
python-charset-normalizer 3.4.6-1
python-cryptography 46.0.5-2
python-dasbus 1.7-5
python-dbus 1.4.0-2
python-defusedxml 0.7.1-8
python-fluidity 0.2.1-8
python-gevent 25.9.1-2
python-gobject 3.54.5-2
python-greenlet 3.3.2-1
python-idna 3.11-2
python-invoke 2.2.1-2
python-jaraco.collections 5.1.0-3
python-jaraco.context 6.0.1-3
python-jaraco.functools 4.1.0-3
python-jaraco.text 4.0.0-4
python-lexicon 3.0.0-2
python-more-itertools 10.8.0-2
python-packaging 26.0-1
python-paramiko 4.0.0-2
python-pkg_resources 81.0.0-1
python-platformdirs 4.9.4-1
python-psutil 7.2.2-1
python-pycparser 3.00-1
python-pycups 2.0.4-4
python-pynacl 1.6.2-1
python-pyxdg 0.28-7
python-requests 2.32.5-4
python-setproctitle 1.3.7-2
python-setuptools 1:82.0.1-1
python-simplejson 3.20.2-2
python-six 1.17.0-3
python-systemd 235-5
python-typing_extensions 4.15.0-3
python-urllib3 2.6.3-1
python-wheel 0.46.3-1
python-wxpython 1:4.2.4-1
python-x2go 0.6.1.4-1
python-xlib 0.33-6
python-yaml 6.0.3-2
python-zope-event 6.1-2
python-zope-interface 8.2-1
qca-qt6 2.3.10-5
qrencode 4.1.1-4
qt5-base 5.15.18+kde+r109-2
qt5-declarative 5.15.18+kde+r23-1
qt5-quickcontrols2 5.15.18+kde+r5-1
qt5-svg 5.15.18+kde+r5-1
qt5-translations 5.15.18-1
qt5-wayland 5.15.18+kde+r55-1
qt5-x11extras 5.15.18-1
qt6-5compat 6.10.2-1
qt6-base 6.10.2-1
qt6-declarative 6.10.2-1
qt6-multimedia 6.10.2-1
qt6-multimedia-ffmpeg 6.10.2-1
qt6-shadertools 6.10.2-1
qt6-speech 6.10.2-1
qt6-svg 6.10.2-1
qt6-translations 6.10.2-1
raptor 2.0.16-9
rasqal 1:0.9.33-7
rav1e 0.8.1-2
re2 2:2025.11.05-1
readline 8.3.003-1
redland 1:1.0.17-9
ripgrep 15.1.0-2
ripgrep-all 0.10.10-1
rofi 2.0.0-1
rtkit 0.14-1
rtmpdump 1:2.6-1
rubberband 4.0.0-1
rygel 1:45.1-1
sane 1.4.0-4
sbc 2.2-1
sdbus-cpp 2.2.1-1
sddm 0.21.0-6
sdl12-compat 1.2.68-2
sdl2-compat 2.32.64-1
sdl3 3.4.2-1
sdl3_ttf 3.2.2-3
sdl_image 1.2.12-9
seatd 0.9.3-1
sed 4.9-3
semver 7.7.4-1
serd 0.32.8-1
shaderc 2026.1-2
shadow 4.18.0-1
shared-mime-info 2.4-3
showtime 49.1-2
simdjson 1:4.4.2-1
simple-scan 49.1-1
slang 2.3.3-4
slurp 1.5.0-1
smbclient 2:4.24.0-1
snappy 1.2.2-3
snapshot 49.1-1
sndio 1.10.0-1
solid 6.24.0-1
sonnet 6.24.0-1
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
soundtouch 2.4.0-1
spandsp 0.0.6-7
spdlog 1.17.0-2
speech-dispatcher 0.12.1-3
speex 1.2.1-2
speexdsp 1.2.1-2
spice-gtk 0.42-5
spice-protocol 0.14.5-1
spirv-tools 1:1.4.341.0-2
sqlite 3.52.0-1
sratom 0.6.22-1
srt 1.5.4-1
sshfs 3.7.5-1
starship 1.24.2-2
startup-notification 0.12-9
stow 2.4.1-1
sudo 1.9.17.p2-2
suitesparse 7.12.2-1
sushi 46.0-2
svt-av1 4.0.1-1
svt-hevc 1.5.1-3
swaync 0.12.5-1
syndication 6.24.0-2
syntax-highlighting 6.24.0-2
systemd 260-1
systemd-libs 260-1
